OBJECTID,URL_PATH,IMAGE_PATH,IMAGE_ALT_,PHOTOCREDI,PAGETITLE,ATT_NAMES_PROC,LASTMODIFI,LATITUDE,LONGTITUDE,ADDRESS,POSTALCODE,OVERVIEW,EXTERNAL_L,META_DESCR,OPENING_HO,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR
19,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/malay-heritage-centre.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/malay-heritage-centre-carousel01-rect.jpg,Delve into the rich heritage and culture of Singaporedo-singapore/culture-heritage/malay-heritage-centre-carousel01-rect.jpg,,"Malay Heritage Centre, Singapore",Malay Heritage Centre|马来文化遗产中心,2015-11-02T10:08:04.332+08:00,1.30309,103.85986,85 Sultan Gate,,The Malay Heritage Centre is a must-visit if youaporedo-singapore/culture-heritage/malay-heritage-centre-carousel01-rect.jpg,http://www.malayheritage.org.sg,The Malay Heritage Centre is a must-visit if youaporedo-singapore/culture-heritage/malay-heritage-centre-carousel01-rect.jpg,"Malay Heritage Centre Museum, Tuesday to Sunday, 10am o-singapore/culture-heritage/malay-heritage-centre-carousel01-rect.jpg",40BEA3C445A32C7D,2017-01-09,30953.8185,31714.6052
20,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/peranakan-museum.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/peranakan-museum-carousel01-rect.jpg,"Many communities, one nation. Find out more about our people, such as the ubiquitous Peranakans.",,Peranakan Museum Singapore: History & Culture,Peranakan Museum|土生华人博物馆,2015-11-02T10:11:13.152+08:00,1.29421,103.8492,39 Armenian Street,,Get to know Singapore52+08:00,http://peranakanmuseum.org.sg/,"At the Peranakan Museum, get to know Singaporeout our people, such as the ubiquitous Peranakans.","Saturday to Thursday, 10am t to know Singaporeout our people, such as the ubiquitous Peranakans.",01811F6A8AC24C77,2017-01-09,29767.4637,30732.6907
21,www.yoursingapore.com/en/see-do-singapore/architecture/historical/raffles-hotel.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/raffles-hotel-carousel03-rect.jpg,The iconic Raffles Hotel has been home to both tall tales and famous folks.,"Raffles Hotel, Singapore",Raffles Singapore,Raffles Singapore|莱佛士酒店,2015-11-02T10:11:09.028+08:00,1.29579,103.85404,1 Beach Road,,"Hark back to a golden age of elegant refinement and gracious living at Raffles Singapore, where the past reawakens to glorious life.",http://www.raffleshotel.com,"Sip a Singapore Sling beneath the whirling fans at the Long Bar, and let the tranquil charms of Raffles Singapore bring you back into another era.","Daily, 24 hours",3EE5CC583F1EA3CF,2017-01-09,30306.112,30907.4027
22,www.yoursingapore.com/en/see-do-singapore/arts/performance-arts/gillman-barracks.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/543-GillmanBarracks-Carousel01-rect.jpg,,Gillman Barracks,Gillman Barracks .com/content/dam/desktop/global/see-do-singapore/arts/543-GillmanBarracks-Carousel01-rect.jpg,Gillman Barracks|吉门兵营,2015-11-03T10:00:29.955+08:00,1.2784,103.80459,9 Lock Road,,A former British military camp is now Asia's new Destination for Contemporary Art.,https://www.gillmanbarracks.com/,Gillman Barracks Singapore is Asianow Asia's new Destination for Contemporary Art.,"Tuesday to Saturday, 11am - 7pm, Sunday, 11am - 6pm , Galleries closed on Monday and public holidays.",7C57E40897D81F38,2017-01-09,24802.7396,28984.5149
23,www.yoursingapore.com/en/see-do-singapore/history/history-museums/national-museum-of-singapore.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/national-museum-of-singapore-carousel01-rect.jpg,The National Museum of Singapore building is also an architectural icon that is stunning to behold.,National Heritage Board,National Museum of Singapore,National Museum of Singapore|新加坡国家博物院,2015-10-26T14:25:34.625+08:00,1.29689,103.84883,93 Stamford Road,,Singaporerd Road,http://nationalmuseum.sg/,The National Museum of Singapore is a progressive showcase of the countryhat is stunning to behold.,"Singapore History Gallery Daily, 10am progressive showcase of the countryhat is stunning to behold.",89154246B42FDD93,2017-01-09,29726.284,31029.0309
24,www.yoursingapore.com/en/see-do-singapore/history/memorials/japanese-cemetery-park.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/japanese-cemetery-park-carousel01-rect.jpg,"The Japanese Cemetery Park holds the ashes of thousands of Japanese soldiers, marines and airmen killed during World War II.",,The Japanese Cemetery Park,Japanese Cemetery Park|日本公墓,2015-10-26T14:42:00.436+08:00,1.36431,103.87584,825B Chuan Hoe Avenue,,"Located in Hougang, this is the largest Japanese cemetery in Southeast Asia and the burial ground of Singapore World War II.",,"The Japanese Cemetery Park is the largest Japanese cemetery in Southeast Asia, containing nearly 1,000 graves of SingaporeI.",Daily,BC34A1671E3AE3E2,2017-01-09,32732.1305,38484.0255
25,www.yoursingapore.com/en/see-do-singapore/history/memorials/dalhousie-obelisk.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/dalhousie-obelisk-carousel01-rect.jpg,The Dalhousie Obelisk is a historically significant piece of Singapore architecture.,Joel Chua DY,"Dalhousie Obelisk, a Singapore Landmark",Dalhousie Obelisk|达豪施纪念碑,2015-10-26T14:38:19.671+08:00,1.28704,103.85238,1 Empress Place,,Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.,,Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.,Daily,77132707AEC29309,2017-01-09,30121.3759,29939.8715
26,www.yoursingapore.com/en/see-do-singapore/history/memorials/sir-raffles-statue-landing-site.html,,,,Raffles Statue re.com/en/see-do-singapore/history/memorials/sir-raffles-statue-landing-site.html,Raffles Statue|莱佛士铜像,2015-10-26T14:48:54.546+08:00,1.287766,103.850845,"Raffles Landing Site , 59 Boat Quay",,"The sculpture depicts Sir Stamford Raffles, founder of modern Singapore. Two statues exist, at the Raffles Landing Site and Empress Place.",,"Raffles Statue depicts the founder of modern Singapore, Sir Stamford Raffles. Two statues exist today, at the Raffles Landing Site and Empress Place.",Daily,DC70E9FD55023AA1,2017-01-09,29950.5427,30020.1476
27,www.yoursingapore.com/en/see-do-singapore/history/history-museums/philatelic-museum.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-philatetic-museum-carousel01-rect.jpg,Take a colourful trip back in time at this Singapore museum dedicated to postage stamps and related materials.,Singapore Philatelic Museum,Singapore Philatelic Museum,Singapore Philatelic Museum|新加坡邮政博物馆,2015-10-26T14:31:26.106+08:00,1.29294,103.8487,23-B Coleman Street,,The Singapore Philatelic Museum offers windows into Singapore and the world through stamps.,http://spm.org.sg,The Philatelic Museum offers visitors postage stamp-sized windows into Singapore and the rest of the world.,"Monday, 1pm ic Museum offers visitors postage stamp-sized windows into Singapore and the rest of the world.",04A519207A664846,2017-01-09,29711.8189,30592.2602
28,www.yoursingapore.com/en/see-do-singapore/history/memorials/lim-bo-seng-memorial.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/lim-bo-seng-memorial-carousel01-rect.jpg,The Lim Bo Seng Memorial commemorates one of Singapore's heroes from World War II.,,Lim Bo Seng Memorial,Lim Bo Seng Memorial|林谋盛纪念碑,2015-10-26T15:07:36.240+08:00,1.288483,103.853027,"Esplanade Park, Connaught Drive",0,This gazetted national monument at Esplanade Park commemorates one of SingaporeII.,http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials,The gazetted Lim Bo Seng Memorial at Esplanade Park commemorates one of Singaporek-memorials,Daily,7D3A056808CD2ACE,2017-01-09,30193.3804,30099.4315
29,www.yoursingapore.com/en/see-do-singapore/history/memorials/kranji-war-memorial.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/kranji-war-memorial-carousel01-rect.jpg,"The serene Kranji War Memorial, Singapore is a hillside cemetery set in a quiet neighbourhood.",,Kranji War Memorial Landmark in Singapore,Kranji War Memorial|克兰芝阵亡战士公墓,2015-10-26T15:19:50.818+08:00,1.41903,103.75749,9 Woodlands Road,,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.,http://bit.ly/19MZ0SB,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.,"Daily, 8am War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.",AFF4B707DB860EE4,2017-01-09,19561.3701,44534.7824
30,www.yoursingapore.com/en/see-do-singapore/history/memorials/indian-national-army-monument.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/indian-national-army-carousel01-rect.jpg,The Indian National Army Monument tells an intriguing story of Singapore's past.,,Indian National Army (INA) Monument in Singapore,Indian National Army Monument|印度国民军纪念碑,2015-10-26T15:02:55.258+08:00,1.289954,103.854217,Esplanade Park,0,This marker at Esplanade Park was one of the eleven World War II markers erected in 1995 to commemorate the 50th anniversary of the end of World War II.,http://www.nhb.gov.sg/places/historic-sites/indian-national-army-memorial,The Indian National Army (INA) Monument at Esplanade Park is a memorial that was built in 1995 to mark the 50th anniversary of the end of World War II.,Daily,54D00ED8E4C566FC,2017-01-09,30325.8159,30262.0881
31,www.yoursingapore.com/en/see-do-singapore/history/memorials/reflections-at-bukit-chandu.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/reflections-at-bukit-chandu-carousel01-rect.jpg,Reflections at Bukit Chandu is housed in a lovingly restored colonial bungalow.,Reflections at Bukit Chandu,Reflections at Bukit Chandu: Singapore War Memorial,Reflections at Bukit Chandu|武吉知马博物馆,2015-10-26T14:52:32.405+08:00,1.27954,103.79433,31-K Pepys Road,,"This heritage centre relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.",http://www.nhb.gov.sg/museums/reflections-at-bukit-chandu,"Reflections at Bukit Chandu relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.","Tuesday to Sunday, 9am andu relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.",F1CC9FAC359E754B,2017-01-09,23660.8859,29110.5853
32,www.yoursingapore.com/en/see-do-singapore/history/memorials/cenotaph.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/cenotaph-carousel01-rect.jpg,"Surrounded by lush green, The Cenotaph sits at a quiet spot amid the city buzz.",,The Cenotaph - a Singapore War Memorial Landmark,The Cenotaph|新加坡阵亡战士纪念碑,2015-10-26T15:16:16.699+08:00,1.290348,103.8538376,"Esplanade Park, Connaught Drive",0,This war memorial in Esplanade Park honours the heroes who fought and died during World War I and World War II.,http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials,The Cenotaph in Singapore is a war memorial in Esplanade Park that honours the heroes who fought and died during World War I and World War II.,Daily,9BA6630A4456F36E,2017-01-09,30283.5915,30305.6543
33,www.yoursingapore.com/en/see-do-singapore/history/memorials/civilian-war-memorial.html,,,,The Civilian War Memorial park in Singapore,Civilian War Memorial|新加坡平民战争纪念碑,2015-10-26T14:58:00.714+08:00,1.293123,103.854618,Bras Basah Road & Beach Road intersection,,"Situated at the War Memorial Park in Beach Road, this memorial commemorates civilian victims of the Japanese Occupation in Singapore.",http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/civilian-war-memorial,The Civilian War Memorial and park in Beach Road commemorates Singaporeilian-war-memorial,Daily,20F9D59235BF6380,2017-01-09,30370.4408,30612.5001
34,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/sri-veeramakaliamman-temple.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-veeramakaliamman-temple-carousel01-rect.jpg,The Sri Veeramakaliamman Temple is a distinctive landmark in the heart of Little India.,,Sri Veeramakaliamman Temple: Hindu Temple in Singapore,Sri Veeramakaliamman Temple|斯里维拉马卡利亚曼庙,2015-11-02T10:25:02.966+08:00,1.30779,103.85258,141 Serangoon Road,,Sri Veeramakaliamman Temple is one of Singaporengapore,http://www.sriveeramakaliamman.com/,Sri Veeramakaliamman Temple is one of Singaporengapore,"Daily, 5.30am iamman Temple is one of Singaporengapore",B909051E514A1E58,2017-01-09,30143.6168,32234.2997
35,www.yoursingapore.com/en/see-do-singapore/architecture/historical/maghain-aboth-synagogue.html,,,,Maghain Aboth Synagogue,Maghain Aboth Synagogue|玛哈因阿博特犹太会堂,2015-11-02T10:18:20.061+08:00,1.29821,103.85081,24/26 Waterloo Street,,"The Maghain Aboth Synagogue is a gem in more ways than one, providing both a snapshot of history and a glimpse into a rich culture.",http://www.singaporejews.com,The simple exterior of the Maghain Aboth Synagogue gives no indication of its richly elegant interiors.,"Visits are available only by appointment. For more information, email jewishwb@singnet.com.sg or call +65 6337 2189 (ext. 103)",C29D251F8B184037,2017-01-09,29946.6396,31174.9912
36,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/sultan-mosque.html,,,,Sultan Mosque (Masjid Sultan) Singapore,Sultan Mosque|苏丹回教堂,2015-11-02T10:27:45.190+08:00,1.302379,103.859171,3 Muscat Street,,"Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singapore (ext. 103)",http://www.sultanmosque.org.sg,The impressive Sultan Mosque (also known as Masjid Sultan) in historic Kampong Glam is the focal point for Singapore(ext. 103),Monday to Sunday:9.30am sque (also known as Masjid Sultan) in historic Kampong Glam is the focal point for Singapore(ext. 103),8EAD53A17A6233BF,2017-01-09,30877.1398,31635.9857
37,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/sri-mariamman-temple.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-mariamman-temple-carousel02-rect.jpg,Sri Mariamman Temple's ornate and elaborate detailing makes it a wonder to behold.,Joel Chua DY,Sri Mariamman Temple: Hindu Temple in Singapore,Sri Mariamman Temple|斯里玛丽安曼庙,2015-11-02T10:31:58.848+08:00,1.28243,103.84538,244 South Bridge Road,,"Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.",http://heb.gov.sg/our-subsidiaries/temples/sri-mariamman-temple.aspx,"Sri Mariamman Temple, located in Chinatown, is the oldest Hindu temple in Singapore.","Daily from 7am emple, located in Chinatown, is the oldest Hindu temple in Singapore.",87AEBE8461E729AF,2017-01-09,29342.3372,29430.1166
